time,logN,pH,strain
0,5.949390007,3,1
0,5.707570176,3,1
0,5.819543936,3,1
1.5,6.06069784,3,1
1.5,6.037426498,3,1
1.5,5.84509804,3,1
3,5.84509804,3,1
3,6.079181246,3,1
3,5.755874856,3,1
4.5,5.851258349,3,1
4.5,5.643452676,3,1
4.5,5.62324929,3,1
6,5.11058971,3,1
6,5.161368002,3,1
6,5.269512944,3,1
7.5,4.158362492,3,1
7.5,4.149219113,3,1
7.5,4.045322979,3,1
9,2.857332496,3,1
9,2.698970004,3,1
9,2.477121255,3,1
10.5,2.892094603,3,1
10.5,1.477121255,3,1
10.5,1.602059991,3,1
0,5.176091259,3.2,1
0,5.681241237,3.2,1
0,5.77815125,3.2,1
6,5.113943352,3.2,1
6,5.672097858,3.2,1
6,5.301029996,3.2,1
12,5.079181246,3.2,1
12,5.079181246,3.2,1
12,5.230448921,3.2,1
18,2.602059991,3.2,1
18,3.770852012,3.2,1
18,3.954242509,3.2,1
24,2.602059991,3.2,1
24,2,3.2,1
24,2.698970004,3.2,1
0,5.414973348,3.4,1
0,5.662757832,3.4,1
0,4.602059991,3.4,1
15,5.431363764,3.4,1
15,5.397940009,3.4,1
15,4.77815125,3.4,1
30,4.903089987,3.4,1
30,5.146128036,3.4,1
30,5.431363764,3.4,1
45,5.089905111,3.4,1
45,3.477121255,3.4,1
45,4.77815125,3.4,1
60,4.173186268,3.4,1
60,3.556302501,3.4,1
60,4.285557309,3.4,1
75,3.113943352,3.4,1
75,2.698970004,3.4,1
75,2,3.4,1
0,5.176091259,3.6,1
0,5.681241237,3.6,1
0,5.77815125,3.6,1
20,5.556302501,3.6,1
20,5.414973348,3.6,1
20,5.897627091,3.6,1
40,4,3.6,1
40,4,3.6,1
40,5,3.6,1
60,3,3.6,1
60,3,3.6,1
60,3.477121255,3.6,1
80,2.301029996,3.6,1
80,2.477121255,3.6,1
80,2.77815125,3.6,1
0,5.886490725,3.8,1
0,5.959041392,3.8,1
0,5,3.8,1
30,5.62324929,3.8,1
30,5.740362689,3.8,1
30,5.447158031,3.8,1
60,5.929418926,3.8,1
60,5.897627091,3.8,1
60,5.491361694,3.8,1
90,5.748188027,3.8,1
90,5.740362689,3.8,1
90,5.531478917,3.8,1
120,5.672097858,3.8,1
120,5.51851394,3.8,1
120,5.113943352,3.8,1
150,5.568201724,3.8,1
150,5.361727836,3.8,1
150,4,3.8,1
180,4.301029996,3.8,1
180,4,3.8,1
180,4,3.8,1
0,5.612783857,3,2
0,6.103803721,3,2
0,6.017033339,3,2
1.5,5.982271233,3,2
1.5,6.158362492,3,2
1.5,6.187520721,3,2
3,5.748188027,3,2
3,6.053078443,3,2
3,5.740362689,3,2
4.5,5.633468456,3,2
4.5,5.447158031,3,2
4.5,4.77815125,3,2
6,5.064457989,3,2
6,4.556302501,3,2
6,3.477121255,3,2
7.5,3.612783857,3,2
7.5,2.477121255,3,2
7.5,2.301029996,3,2
9,3.447158031,3,2
9,1.602059991,3,2
9,1.602059991,3,2
0,5.991226076,3.2,2
0,6.136720567,3.2,2
0,6.195899652,3.2,2
4,5.748188027,3.2,2
4,6,3.2,2
4,5.982271233,3.2,2
8,5.204119983,3.2,2
8,5.505149978,3.2,2
8,5.342422681,3.2,2
12,3.301029996,3.2,2
12,3,3.2,2
12,3.903089987,3.2,2
16,1,3.2,2
16,2,3.2,2
16,1,3.2,2
0,5.491361694,3.4,2
0,6.11058971,3.4,2
0,6.021189299,3.4,2
15,5.740362689,3.4,2
15,5.698970004,3.4,2
15,5.892094603,3.4,2
30,5.447158031,3.4,2
30,5.832508913,3.4,2
30,5.86923172,3.4,2
45,5.471291711,3.4,2
45,5.146128036,3.4,2
45,4.748188027,3.4,2
60,4.698970004,3.4,2
60,4.808885867,3.4,2
60,4.62324929,3.4,2
75,3.579783597,3.4,2
75,3.440909082,3.4,2
75,3.1430148,3.4,2
90,3.342422681,3.4,2
90,3.06069784,3.4,2
90,2.568201724,3.4,2
105,2.963787827,3.4,2
105,3.283301229,3.4,2
105,2.380211242,3.4,2
120,3.146128036,3.4,2
120,2.973127854,3.4,2
120,1.698970004,3.4,2
0,5.968482949,3.6,2
0,5.944482672,3.6,2
0,5.380211242,3.6,2
20,5.886490725,3.6,2
20,5.968482949,3.6,2
20,5.86923172,3.6,2
40,5.477121255,3.6,2
40,5.361727836,3.6,2
40,5.380211242,3.6,2
60,4.414973348,3.6,2
60,4.447158031,3.6,2
60,4.491361694,3.6,2
80,3,3.6,2
80,3,3.6,2
80,3,3.6,2
100,2.301029996,3.6,2
100,2.477121255,3.6,2
100,2,3.6,2
0,5.968482949,3.8,2
0,5.944482672,3.8,2
0,5.380211242,3.8,2
30,5.505149978,3.8,2
30,5.763427994,3.8,2
30,5.924279286,3.8,2
60,5.447158031,3.8,2
60,5.832508913,3.8,2
60,5.643452676,3.8,2
90,5.698970004,3.8,2
90,5.698970004,3.8,2
90,5.716003344,3.8,2
120,5.672097858,3.8,2
120,5.707570176,3.8,2
120,5.72427587,3.8,2
150,5.414973348,3.8,2
150,5.204119983,3.8,2
150,5.69019608,3.8,2
180,4.602059991,3.8,2
180,4.301029996,3.8,2
180,5.322219295,3.8,2
210,5.041392685,3.8,2
210,4.77815125,3.8,2
210,5.113943352,3.8,2
240,3,3.8,2
240,3.301029996,3.8,2
240,3.954242509,3.8,2
0,6.079181246,3,3
0,6.086359831,3,3
0,5.477121255,3,3
1.5,5.857332496,3,3
1.5,6.161368002,3,3
1.5,5.698970004,3,3
3,5.792391689,3,3
3,5.86923172,3,3
3,5.740362689,3,3
4.5,5.041392685,3,3
4.5,5.079181246,3,3
4.5,5.255272505,3,3
6,3.954242509,3,3
6,4.380211242,3,3
6,3.84509804,3,3
7.5,1.602059991,3,3
7.5,2.698970004,3,3
7.5,2.301029996,3,3
0,5.892094603,3.2,3
0,5.681241237,3.2,3
0,5.982271233,3.2,3
4,5.568201724,3.2,3
